YEAR,MAKE,MODEL,SECTION,SUB_SECTION,TITLE,DESCRIPTION,THUMBNAIL_URL,VIDEO_URL,VIDEO_DOWNLOAD_URL
2007,Ford,edge,Dash & Interior,Comfort,Personalizing climate with MyTemp,This video will explain how to set a personalized temperature in your vehicle that automatically sets to your preferred temperature any time you turn on the climate controls.,https://owner.ford.com/content/dam/ford-dot-com/cx_en_english/how-tos/video-assets/3569058990001.jpg.html,https://owner.ford.com/support/how-tos/sync/sync-with-myford-touch/settings/how-to-set-personalized-temperature-with-mytemp.html,http://players.brightcove.net/2379864788001/B1eFuwPXkG_default/index.html?videoId=3569058990001
2007,Ford,edge,Dash & Interior,Interior Features,USB smart charging,This easy to follow video will tell you about the multiple USB charging ports located in your vehicle.,https://owner.ford.com/content/dam/ford-dot-com/cx_en_english/how-tos/video-assets/3971756209001.jpg.html,https://owner.ford.com/support/how-tos/interior/electric-outlets-and-usb-ports/how-does-usb-smart-charging-work.html,http://players.brightcove.net/2379864788001/B1eFuwPXkG_default/index.html?videoId=3971756209001
2007,Ford,edge,Dash & Interior,Interior Features,Changing display settings,This video will explain how to adjust the appearance of your MyFord Touch display screen.,https://owner.ford.com/content/dam/ford-dot-com/cx_en_english/how-tos/video-assets/3569204006001.jpg.html,https://owner.ford.com/support/how-tos/sync/sync-with-myford-touch/settings/how-to-change-display-settings.html,http://players.brightcove.net/2379864788001/B1eFuwPXkG_default/index.html?videoId=3569204006001
2007,Ford,edge,Dash & Interior,Interior Features,SYNC with MyFord Touch: Changing Ambient Lighting,This video shows you how to control the ambient lighting feature through the MyFord Touch or MyLincoln Touch in your vehicle to set the mood for a unique driving experience.,https://owner.ford.com/content/dam/ford-dot-com/cx_en_english/how-tos/video-assets/3569057678001.jpg.html,https://owner.ford.com/support/how-tos/sync/sync-with-myford-touch/settings/how-to-change-ambient-lighting.html,http://players.brightcove.net/2379864788001/B1eFuwPXkG_default/index.html?videoId=3569057678001
2007,Ford,edge,Dash & Interior,Comfort,Personalizing climate with MyTemp,This video will explain how to set a personalized temperature in your vehicle that automatically sets to your preferred temperature any time you turn on the climate controls.,https://owner.ford.com/content/dam/ford-dot-com/cx_en_english/how-tos/video-assets/3569058990001.jpg.html,https://owner.ford.com/support/how-tos/sync/sync-with-myford-touch/settings/how-to-set-personalized-temperature-with-mytemp.html,http://players.brightcove.net/2379864788001/B1eFuwPXkG_default/index.html?videoId=3569058990001
2007,Ford,edge,Dash & Interior,Interior Features,USB smart charging,This easy to follow video will tell you about the multiple USB charging ports located in your vehicle.,https://owner.ford.com/content/dam/ford-dot-com/cx_en_english/how-tos/video-assets/3971756209001.jpg.html,https://owner.ford.com/support/how-tos/interior/electric-outlets-and-usb-ports/how-does-usb-smart-charging-work.html,http://players.brightcove.net/2379864788001/B1eFuwPXkG_default/index.html?videoId=3971756209001
2007,Ford,edge,Dash & Interior,Interior Features,SYNC with MyFord Touch: Changing Ambient Lighting,This video shows you how to control the ambient lighting feature through the MyFord Touch or MyLincoln Touch in your vehicle to set the mood for a unique driving experience.,https://owner.ford.com/content/dam/ford-dot-com/cx_en_english/how-tos/video-assets/3569057678001.jpg.html,https://owner.ford.com/support/how-tos/sync/sync-with-myford-touch/settings/how-to-change-ambient-lighting.html,http://players.brightcove.net/2379864788001/B1eFuwPXkG_default/index.html?videoId=3569057678001
2007,Ford,edge,Dash & Interior,Interior Technology,Explore Navigation by voice commands,Review voice commands for your Ford's SYNC system and get to wherever you're going hands-free.,https://owner.ford.com/content/dam/ford-dot-com/cx_en_english/how-tos/video-assets/4084494605001.jpg.html,https://owner.ford.com/support/how-tos/sync/sync-with-myford-touch/navigation/how-to-use-voice-commands.html,http://players.brightcove.net/2379864788001/B1eFuwPXkG_default/index.html?videoId=4084494605001
2007,Ford,edge,Dash & Interior,Interior Technology,Adjusting volume control - Media Devices,This video will help explain how to adjust the volume on your vehicle's speakers when listening to music or on a call through a Bluetooth connection and the SYNC voice commands volume.,https://owner.ford.com/content/dam/ford-dot-com/cx_en_english/how-tos/video-assets/4107585877001.jpg.html,https://owner.ford.com/support/how-tos/sync/sync-with-myford-touch/settings/how-to-adjust-volume-up-on-my-speakers.html,http://players.brightcove.net/2379864788001/B1eFuwPXkG_default/index.html?videoId=4107585877001
2007,Ford,edge,Dash & Interior,Interior Technology,Changing rearview camera settings,This easy to follow video will explain how to set the rear view camera display guidelines. It will also show you how to turn the camera delay on or off.,https://owner.ford.com/content/dam/ford-dot-com/cx_en_english/how-tos/video-assets/3569069893001.jpg.html,https://owner.ford.com/support/how-tos/sync/sync-with-myford-touch/settings/how-to-adjust-rear-view-camera-settings.html,http://players.brightcove.net/2379864788001/B1eFuwPXkG_default/index.html?videoId=3569069893001
2007,Ford,edge,SYNC & Technology,Convenience,Explore Navigation by voice commands,Review voice commands for your Ford's SYNC system and get to wherever you're going hands-free.,https://owner.ford.com/content/dam/ford-dot-com/cx_en_english/how-tos/video-assets/4084494605001.jpg.html,https://owner.ford.com/support/how-tos/sync/sync-with-myford-touch/navigation/how-to-use-voice-commands.html,http://players.brightcove.net/2379864788001/B1eFuwPXkG_default/index.html?videoId=4084494605001
